artist,artist_id
'Til Tuesday,1L0y9srZMyh9XUnYGv37IP
(T-T)b,36ofeSYIu5DGRarLS0GhnG
"10,000 Maniacs",0MBIKH9DjtBkv8O3nS6szj
2814,2wBpW4bAGYVe0yJcBeCTyd
311,41Q0HrwWBtuUkJc7C1Rp6K
65daysofstatic,6DVVsQAnpHdJjb1nYuOQ6g
A.C. Newman,0QldGXwclr0chJkP91RRWX
AC/DC,711MCceyCBcFnzjGY4Q7Un
ATLUS Sound Team,
Aaron Goldberg,0BTfBwYC5Mw5ezDg91JBma
Adventures,0YdXfou4dLC8zsOn85D1GL
Aisha Duo,6ggSb0QhQJsSCg2w9zpn3V
Aki Kuroda,5TMEiphJbIEqBMRWunPqv6
Alanis Morissette,6ogn9necmbUdCppmNnGOdi
Alex Chilton,7CW5MYWUsyUYiHbiTmVZHe
Alexisonfire,53RsXctnNmj9oKXvcbvzI2
Algernon Cadwallader,1BfYXNfaB5HBwHn4gxnEQE
Alice In Chains,64tNsm6TnZe2zpcMVMOoHL
Alien Ant Farm,6TZdvF1kFzwnQLgHQynzsO
Alison Krauss,5J6L7N6B4nI1M5cwa29mQG
Alison Krauss & Gillian Welch,
Alkaline Trio,1aEYCT7t18aM3VvM6y8oVR
American Football,5FwydyGVcsQllnM4xM6jw4
American Hi-Fi,4XlcLj6bxCnpBIOHmBpIWP
Amusement Parks On Fire,6l2cddhlFnBmaLiUM4TyTx
Anamanaguchi,2UwJRAgSOi1zcLkvUNc8XL
And So I Watch You From Afar,7qKMNwlACMZOUdMG3acwst
Andrew WK,4YJR4xviDKHoelt9WKHlBa
Antonio Carlos Jobim/Frank Sinatra,
Aphex Twin,6kBDZFXuLrZgHnvmPu9NsG
Apples In Stereo,5KIrQe9pb7tn8y775PsoAP
Aqualung,3uT7nEkZwWc2GBiqUZGoOe
Arcade Fire,3kjuyTCjPG1WMFCiyc5IuB
Arctic Monkeys,7Ln80lUS6He07XvHI8qqHH
Astroskeleton,3MNLrLvqseNi4Un4Xm9NVi
At The Drive-In,5E2rtn57BM2WPjwak4kGd5
Atmosphere,1GAS0rb4L8VTPvizAx2O9J
Audioslave,2ziB7fzrXBoh1HUPS6sVFn
Auto Delta Time,
BLVC SVND,1T7n9eX0vgpL6EdY1Qv5IU
Bad Religion,2yJwXpWAQOOl5XFzbCxLs9
Bag of Bones,0W0j3HWEBvzr7gpQTCEXaF
Baiyon,2ibBdk29W8yH1KPD6oZdaj
Band of Skulls,4ddt8PPvmWrI9mJQy1VrIG
Bang Camaro,7sB9Netl8x6rYTw0gs1JJ8
Barenaked Ladies,0dEvJpkqhrcn64d3oI8v79
Baths,5zS8r5hRRk1jzD41yYS1NO
Beach Fossils,1bwUhKRmEkOZ1wuTnV9XjC
"Beach Fossils, Wild Nothing",7qrJAbTxlq5Mxjb9HVRaKC
Beach House,56ZTgzPBDge0OvCGgMO3OY
Beastie Boys,03r4iKL2g2442PT9n2UKsx
Beat Culture,0BZ3BHzfYwpd3k5TDnvAz8
Beck,3vbKDsSS70ZX9D2OcvbZmS
Beirut,6pmxr66tMAePxzOLfjGNcX
Bell Rays,
Ben Folds,55tif8708yyDQlSjh3Trdu
Ben Harper,45lorWzrKLxfKlWpV7r9CN
Ben Kweller,7bhMBjjQhgPX0q9S4Ajncn
Benny Smiles,6O1kKmQt2LuXaIgt2eKl2M
Better Than Ezra,4UuoJfJ9UybJft7a8E6UHX
Big Star,3UvcmAOZt64oKpP95f6MMM
Bill Kiley,6jYO2wnv847jRUsA7dciSs
Billy Joel,6zFYqv1mOsgBRQbae3JJ9e
Blind Guardian,7jxJ25p0pPjk0MStloN6o6
Blind Melon,5sD1ZLf2dGQ9gQ3YJl1eAd
Blink-182,6FBDaR13swtiWwGhX1WQsP
Bloc Party,3MM8mtgFzaEJsqbjZBSsHJ
Blood Orange,6LEeAFiJF8OuPx747e1wxR
Blue Sky Black Death,0dU2EKM6vca3xmJ9kl8zoI
Blur,7MhMgCo0Bl0Kukl93PZbYS
Bob Acri,5LgnVUVYlM9jqiyYMgNMMB
Bob Dylan,74ASZWbe4lXaubB36ztrGX
Bon Jovi,58lV9VcRSjABbAbfWS6skp
Boston,29kkCKKGXheHuoO829FxWK
Boy Without Batteries,4VVTAEvL0K21l6WuBll09i
Brand New,168dgYui7ExaU612eooDF1
Brave Bird,1Snnn7R5RJ1U4pj6smEI6c
Brazil,03xcT10aipgYbYqusG7GWY
Bright Eyes,5o206eFLx38glA2bb4zqIU
Broken Social Scene,7lOJ7WXyopaxri0dbOiZkd
Bryan Adams,3Z02hBLubJxuFJfhacLSDc
Buffalo Springfield,3eskO5m0H4yiF64vRySBjr
Built to Spill,3kbBWco9PZ5eSQsNScwG6U
Bush,78SHxLdtysAXgywQ4vE0Oa
Butthole Surfers,62BcWP4fzR8axESibNQEhs
Buzzcocks,2DxlS3lTLFIq70S7ap5H3y
CHVRCHES,3CjlHNtplJyTf9npxaPl5w
CKY,3ZQEU2arcWXSv3oz8hwWBK
Cage The Elephant,26T3LtbuGT1Fu9m0eRq5X3
Cage the Elephant,26T3LtbuGT1Fu9m0eRq5X3
Cake,6A43Djmhbe9100UwnI7epV
Calculator,4qe7uB5dUIr7ePw8trrOdm
Candlebox,3R6c2tWDBeYB1GncjLMn9n
Capcom,3w1Q754jb31h5CXQCcnLNL
Captain Beefheart,2k8kY9zHUWxuTtwV4UutHw
Carpenter Brut,1l2oLiukA9i5jEtIyNWIEP
Castevet,2fpKK3qJU6Vf7eqzi9Q89P
Caveman the Wise,0FfH0LnJLsq94wSGrQQ2kL
Cheap Trick,1LB8qB5BPb3MHQrfkvifXU
Chevelle,56dO9zeHKuU5Gvfc2kxHNw
Childish Gambino,73sIBHcqh3Z3NyqHKZ7FOL
Chisel,6y4coSy8vZX0FnM26Z81Rk
Chris Thomas King,3azQ4yZ4Dt6hPbyNeOOMLN
Chromacle,
Chrome Sparks,2pTCZ9C1fXdaVlv6d5EIXM
Chumbawamba,0TcYeHEK9sBtv7xPbKhzHz
CiniMod,4DqTUBaxlhMwpP22DrqiAc
Circa Survive,11FY888Qctoy6YueCpFkXT
Citizen,7enBrBojgBJuPPdqTq4Z5F
Clap Your Hands Say Yeah,1jSaZgaKHmgc7VTgML528r
Coconut Records,2YKp8Odp8GGbAkVU60Yk2Y
Coconuts,6KPWnJouOHhX0ZhscJsIU1
Cold,4gzpq5DPGxSnKTe4SA8HAU
Collective Soul,4e5V1Q2dKCzbLVMQ8qbTn6
Com Truise,2wouN3QXejYa5tKetYdcVX
Corran,5RteSkbK6klz3fgMMXH7lv
Cory Johnson,7e3PreZhibIpYj3DeJNBbd
Count Basie Orchestra/Frank Sinatra,
Courtney Barnett,4OOlG5eBXSkSAAEeKjJb5Y
Creedence Clearwater Revival,3IYUhFvPQItj6xySrBmZkd
Crowded House,7ohlPA8dRBtCf92zaZCaaB
Crush 40,4gNEgDZhEu6ldAI2wWdZsL
Crush 40 & Bently Jones,
Crystal Castles,7K3zpFXBvPcvzhj7zlGJdO
Cursive,1sylmUjlKYsLA49YtkNHW3
Cymbals Eat Guitars,580mg2IiCqPs9dmDUkJj2x
DJ Dain,5XBEPk2997Lua0XGi2jACP
DJ Electrohead,07VV1YKJ4nR91b6KukksI8
Da Vinci's Notebook,4rIDY3ojaWd7Z9ky9SFc1g
Dads,2OUGTXNFUe4WwC4CWpvIal
Daft Punk,4tZwfgrHOc3mvqYlEYSvVi
Dag Unenge,3juiOjxrsYhIVhgEk904ni
Dave Mason,2DWQX92uew7DlsgN0yD775
Dave Matthews Band,2TI7qyDE0QfyOlnbtfDo7L
