Artist,Title,Track,Album,Year,Genre,Length,Bitrate
"10,000 Maniacs",These Are Days,01,MTV Unplugged,1993,Rock/Pop,04:53,192
2814,恢复,01,新しい日の誕生,2015,,05:51,277
2814,遠くの愛好家,02,新しい日の誕生,2015,,06:18,233
2814,新宿ゴールデン街,03,新しい日の誕生,2015,,08:51,277
2814,ふわっと,04,新しい日の誕生,2015,,06:36,266
2814,悲哀,05,新しい日の誕生,2015,,09:23,284
2814,真実の恋,06,新しい日の誕生,2015,,07:12,250
2814,テレパシー,07,新しい日の誕生,2015,,10:08,266
2814,新しい日の誕生,08,新しい日の誕生,2015,,13:04,267
311,Down,01,311,1995,Rock,02:53,231
311,Random,02,311,1995,Rock,03:07,219
311,Jackolantern's Weather,03,311,1995,Rock,03:24,230
311,All Mixed Up,04,311,1995,Rock,03:02,211
311,Hive,05,311,1995,Rock,02:59,244
311,Guns (Are for Pussies),06,311,1995,Rock,02:16,237
311,Misdirected Hostility,07,311,1995,Rock,02:59,233
311,Purpose,08,311,1995,Rock,02:44,217
311,Loco,09,311,1995,Rock,01:53,232
311,Brodels,10,311,1995,Rock,03:32,231
311,Don't Stay Home,11,311,1995,Rock,02:43,237
311,DLMD,12,311,1995,Rock,02:13,228
311,Sweet,13,311,1995,Rock,03:15,215
311,T & P Combo,14,311,1995,Rock,02:49,253
65daysofstatic,Another Code Against The Gone,01,The Fall of Math,2004,Post-Rock,01:40,294
65daysofstatic,Install A Beak In The Heart That Clucks Time In Arabic,02,The Fall of Math,2004,Post-Rock,04:55,254
65daysofstatic,Retreat! Retreat!,03,The Fall of Math,2004,Post-Rock,04:10,280
65daysofstatic,Default This,04,The Fall of Math,2004,Post-Rock,01:43,205
65daysofstatic,"I Swallowed Hard, Like I Understood",05,The Fall of Math,2004,Post-Rock,05:27,254
65daysofstatic,The Fall Of Math,06,The Fall of Math,2004,Post-Rock,03:59,266
65daysofstatic,This Cat Is A Landmine,07,The Fall of Math,2004,Post-Rock,04:45,266
65daysofstatic,The Last Home Recording,08,The Fall of Math,2004,Post-Rock,02:13,269
65daysofstatic,Hole,09,The Fall of Math,2004,Post-Rock,04:33,284
65daysofstatic,Fix The Sky A Little,10,The Fall of Math,2004,Post-Rock,05:29,261
65daysofstatic,Aren't We All Running?,11,The Fall of Math,2004,Post-Rock,04:51,264
A.C. Newman,There Are Maybe Ten or Twelve,01,Get Guilty,2009,Indie Rock,02:41,192
A.C. Newman,The Heartbreak Rides,02,Get Guilty,2009,Indie Rock,04:09,192
A.C. Newman,"Like a Hitman, Like a Dancer",03,Get Guilty,2009,Indie Rock,03:41,192
A.C. Newman,Prophets,04,Get Guilty,2009,Indie Rock,02:58,192
A.C. Newman,Submarines of Stockholm,05,Get Guilty,2009,Indie Rock,03:54,192
A.C. Newman,Thunderbolts,06,Get Guilty,2009,Indie Rock,03:46,192
A.C. Newman,The Palace at 4 AM,07,Get Guilty,2009,Indie Rock,03:23,192
A.C. Newman,The Changeling (Get Guilty),08,Get Guilty,2009,Indie Rock,03:19,192
A.C. Newman,Elemental,09,Get Guilty,2009,Indie Rock,03:28,192
A.C. Newman,Young Atlantis,10,Get Guilty,2009,Indie Rock,03:49,192
A.C. Newman,The Collected Works,11,Get Guilty,2009,Indie Rock,03:09,192
A.C. Newman,All of My Days and All of My Days Off,12,Get Guilty,2009,Indie Rock,03:51,192
A.C. Newman,Miracle Drug,01,The Slow Wonder,2004,Rock,02:19,236
A.C. Newman,"Drink To Me, Babe, Then",02,The Slow Wonder,2004,Rock,03:32,237
A.C. Newman,On The Table,03,The Slow Wonder,2004,Rock,03:56,245
A.C. Newman,Most Of Us Prizefighters,04,The Slow Wonder,2004,Rock,02:27,238
A.C. Newman,The Battle For Straight Time,05,The Slow Wonder,2004,Rock,03:58,242
A.C. Newman,Secretarial,06,The Slow Wonder,2004,Rock,02:34,246
A.C. Newman,Come Crash,07,The Slow Wonder,2004,Rock,03:03,233
A.C. Newman,Better Than Most,08,The Slow Wonder,2004,Rock,02:33,232
A.C. Newman,The Cloud Prayer,09,The Slow Wonder,2004,Rock,02:25,235
